股票代码,股票简称,退市@退市日期,market_code,code
200053.SZ,深基地B,20180615,105,200053
000916.SZ,华北高速,20171225,35,000916
300372.SZ,欣泰退,20170828,35,300372
000033.SZ,新都退,20170707,35,000033
600005.SH,武钢股份,20170214,19,600005
000748.SZ,长城信息,20170118,35,000748
900935.SH,阳晨B股,20161216,105,900935
600656.SH,退市博元,20160513,19,600656
000024.SZ,招商地产,20151230,35,000024
200024.SZ,招商局B,20151211,105,200024
900950.SH,新城B股,20151123,105,900950
300186.SZ,大华农,20151102,35,300186
000594.SZ,国恒退,20150713,35,000594
200770.SZ,武锅B退,20150713,105,200770
601268.SH,*ST二重,20150521,19,601268
600832.SH,东方明珠,20150520,19,600832
601299.SH,中国北车,20150520,19,601299
000562.SZ,宏源证券,20150126,35,000562
200002.SZ,万科B,20140619,105,200002
600087.SH,退市长油,20140605,19,600087
200513.SZ,丽珠B,20140110,105,200513
900949.SH,东电B股,20131107,105,900949
000527.SZ,美的电器,20130918,35,000527
000602.SZ,金马集团,20130814,35,000602
600253.SH,天方药业,20130715,19,600253
000522.SZ,白云山A,20130426,35,000522
000805.SZ,*ST炎黄,20130327,35,000805
000787.SZ,*ST创智,20130208,35,000787
200039.SZ,中集B,20121214,105,200039
600991.SH,广汽长丰,20120320,19,600991
600263.SH,路桥建设,20120301,19,600263
600102.SH,莱钢股份,20120228,19,600102
600631.SH,百联股份,20110823,19,600631
000578.SZ,盐湖集团,20110322,35,000578
600553.SH,太行水泥,20110218,19,600553
600003.SH,ST东北高,20100226,19,600003
600607.SH,上实医药,20100212,19,600607
600842.SH,中西药业,20100212,19,600842
600591.SH,*ST上航,20100125,19,600591
600001.SH,邯郸钢铁,20091229,19,600001
600357.SH,承德钒钛,20091229,19,600357
200041.SZ,*ST本实B,20091204,105,200041
600840.SH,新湖创业,20090827,19,600840
000515.SZ,攀渝钛业,20090506,35,000515
000569.SZ,长城股份,20090506,35,000569
600627.SH,上电股份,20081126,19,600627
600786.SH,东方锅炉,20080318,19,600786
600472.SH,包头铝业,20071226,19,600472
600065.SH,*ST联谊,20071213,19,600065
600762.SH,S*ST金荔,20071120,19,600762
600181.SH,*ST云大,20070601,19,600181
600286.SH,S*ST国瓷,20070531,19,600286
000583.SZ,S*ST托普,20070521,35,000583
600205.SH,S山东铝,20070430,19,600205
600296.SH,S兰铝,20070430,19,600296
000549.SZ,S湘火炬,20070427,35,000549
000699.SZ,S*ST佳纸,20070404,35,000699
600092.SH,S*ST精密,20061130,19,600092
600772.SH,S*ST龙昌,20061130,19,600772
000832.SZ,*ST龙涤,20060629,35,000832
600002.SH,齐鲁石化,20060424,19,600002
000406.SZ,大明退市,20060421,35,000406
000866.SZ,扬子退市,20060421,35,000866
000956.SZ,中原退市,20060421,35,000956
600659.SH,*ST花雕,20060323,19,600659
000618.SZ,吉化退市,20060220,35,000618
000763.SZ,锦化退市,20060104,35,000763
000817.SZ,辽油退市,20060104,35,000817
600799.SH,*ST龙科,20051231,19,600799
600752.SH,*ST哈慈,20050922,19,600752
000535.SZ,*ST猴王,20050921,35,000535
000769.SZ,*ST大菲,20050921,35,000769
000827.SZ,*ST长兴,20050921,35,000827
200057.SZ,*ST大洋B,20050921,105,200057
600899.SH,*ST信联,20050921,19,600899
600700.SH,*ST数码,20050920,19,600700
600852.SH,*ST中川,20050916,19,600852
600672.SH,*ST华圣,20050805,19,600672
000765.SZ,*ST华信,20050704,35,000765
600788.SH,*ST达曼,20050325,19,600788
600632.SH,华联商厦,20041118,19,600632
000621.SZ,*ST比特,20040927,35,000621
000730.SZ,*ST环保,20040924,35,000730
600670.SH,*ST斯达,20040924,19,600670
000013.SZ,*ST石化A,20040920,35,000013
200013.SZ,*ST石化B,20040920,105,200013
600669.SH,*ST鞍成,20040915,19,600669
600878.SH,*ST北科,20040915,19,600878
000660.SZ,*ST南华,20040913,35,000660
000405.SZ,ST鑫光,20040319,35,000405
000542.SZ,TCL通讯,20040113,35,000542
600646.SH,ST国嘉,20030922,19,600646
000412.SZ,ST五环,20030919,35,000412
000047.SZ,ST中侨,20030530,35,000047
600709.SH,ST生态,20030523,19,600709
000658.SZ,ST海洋,20020920,35,000658
600813.SH,ST鞍一工,20020916,19,600813
000653.SZ,ST九州,20020913,35,000653
000689.SZ,ST宏业,20020905,35,000689
000675.SZ,ST银山,20020820,35,000675
000003.SZ,PT金田A,20020614,35,000003
200003.SZ,PT金田B,20020614,105,200003
000556.SZ,PT南洋,20020529,35,000556
000015.SZ,PT中浩A,20011022,35,000015
200015.SZ,PT中浩B,20011022,105,200015
000588.SZ,PT粤金曼,20010615,35,000588
600625.SH,PT水仙,20010423,19,600625
900931.SH,PT水仙B,20010423,105,900931
000508.SZ,琼民源,19990712,35,000508
900952.SH,退市锦B,,21,900952
600462.SH,退市九有,,21,600462
300208.SZ,中程退,,37,300208
000622.SZ,恒立退,,35,000622
600190.SH,退市锦港,,21,600190
